SEN.2;SEN;Nr_SISF;Rank;Taxon_name;Authority;Subfamily;Family;Fern;Gymnosperm;Primitive_Angiosperm;Monocot;Eudicot;Garden_functional_group;Crop_use;Growth_form;Growth_form_simple;Liana;Carnivorous;Parasitic;Height_m;Leaf_duration;Pollination_mode;Structural_blossom_class;Tube_or_spur_present;Ressource;Visual_attraction;Alighting;Pollen_deposition_reception;Displaying_pollen;Pollinator_behaviour;Tube_spur_length_mm;Corolla_or_substitute_length_mm;Flower_diametre_mm;Inflorescence_diameter_mm;Coloured_bracts_or_substitute;Coloured_bract_lenght_mm;Brown_Drab;Green;Blue;Red;Orange;White;Yellow;Violet;Purpur_Magenta;Rose;January;February;March;April;May;June;July;August;September;October;November;December;Flower_onset;Months_flowering;Naturalization_status;Young_species;Freisetzungsverordnung;Black_list;Watch_list;Ecological_group;Red_list_CH;Red_list_MP;Red_list_MP2;IndigenatCH;Origin_status;Geographic_range_CHECK;Note
4251;4251;298300;sp;Phaseolus vulgaris;L.;Faboidae;Fabaceae;0;0;0;0;1;crop;1;therophyte;annual plant;1;0;0;4;deciduous;biotic;flag;1;NP;standard;lower_lip_or_carina;sternotribic;hidden;alighting_forcing;3;15;13;NA;0;NA;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;July;2;neophyte;1;0;0;0;weeds_ruderal_plants;(DD);(DD);(DD);NC;1;A1;
4279;4279;300620;sp;Physalis peruviana;L.;NA;Solanaceae;0;0;0;0;1;crop;1;therophyte;annual plant;0;0;0;1.5;deciduous;biotic;bell_trumpet;0;NP;corolla_or_substitute;more_exact;central_inside;half_hidden;crawling_in;0;12.5;25;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;May;4;neophyte;1;0;0;0;NA;NA;NA;NA;N;1;A1;
NA;NA;NA;sp;Physalis philadelphica;Lam.;NA;Solanaceae;0;0;0;0;1;crop;1;therophyte;annual plant;0;0;0;0.6;deciduous;biotic;bell_trumpet;0;NP;corolla_or_substitute;more_exact;central_inside;open;crawling_in;0;12.5;25;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;June;4;neophyte;0;0;0;0;NA;NA;NA;NA;NC;1;A2a;
4366;4366;306595;sp;Pisum sativum;L.;Faboidae;Fabaceae;0;0;0;0;1;crop;1;therophyte;annual plant;1;0;0;2;deciduous_wintergreen;biotic;flag;1;NP;standard;lower_lip_or_carina;sternotribic;hidden;alighting_forcing;4;30;20;NA;0;NA;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;May;4;archeophyte;1;0;0;0;weeds_ruderal_plants;DD;DD;DD;A;0;C2;
4466;4468;314300;aggr;Polygonum aviculare aggr.;;NA;Polygonaceae;0;0;0;0;1;spontanous;0;therophyte;annual plant;0;0;0;0.03;deciduous;biotic;dish_bowl;0;NP;diffuse;diffuse;diffuse_inside;open;primitive;0;3;NA;NA;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;0;June;5;indigenous_or_neophyte;0;0;0;0;weeds_ruderal_plants;NA;NA;NA;I;0;B3;
4485;4485;315600;sp;Polygonum persicaria;L.;NA;Polygonaceae;0;0;0;0;1;spontanous;0;therophyte;annual plant;0;0;0;0.4;deciduous;biotic;dish_bowl;0;NP;diffuse;diffuse;diffuse_inside;open;primitive;0;3;NA;NA;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;July;4;idiochorophyte;0;0;0;0;weeds_ruderal_plants;LC;LC;LC;I;0;B2;
4508;4508;317650;sp;Portulaca oleracea;L.;NA;Portulacaceae;0;0;0;0;1;spontanous;0;therophyte;annual plant;0;0;0;0.05;deciduous;biotic;dish_bowl;0;NP;diffuse;diffuse;diffuse_inside;open;primitive;0;4.6;NA;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;June;4;archeophyte;0;0;0;0;weeds_ruderal_plants;LC;LC;LC;A;0;C2b;
4897;4897;342600;sp;Raphanus sativus;L.;NA;Brassicaceae;0;0;0;0;1;crop;1;therophyte;annual plant;0;0;0;1;wintergreen_deciduous;biotic;dish_bowl;0;NP;margin;margin;diffuse_inside;half_hidden;alighting;0;15;25;NA;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;May;4;archeophyte;0;0;0;0;weeds_ruderal_plants;LC;LC;LC;N;1;C2b;
4959;4959;NA;sp;Ricinus communis;L.;NA;Euphorbiaceae;0;0;0;0;1;annual_border_flower;0;therophyte;annual plant;0;0;0;3;deciduous;abiotic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;neophyte;0;0;0;0;NA;NA;NA;NA;NC;1;A0a;
NA;NA;NA;sp;Salvia farinacea;Benth.;NA;Lamiaceae;0;0;0;0;1;annual_border_flower;0;therophyte;annual plant;0;0;0;1;deciduous;biotic;gullet;1;NP;both_lips;lower_lip_or_carina;nototribic;hidden;alighting_forcing;6;16;NA;NA;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;May;6;neophyte;0;0;0;0;NA;NA;NA;NA;NC;1;A2a;
5259;5259;NA;sp;Sanvitalia procumbens;Lam.;Asteroideae;Asteraceae;0;0;0;0;1;annual_border_flower;0;therophyte;annual plant;0;0;0;0.3;deciduous;biotic;dish_bowl;1;NP;diffuse;diffuse;diffuse_inside;open;primitive;1;6.7;NA;20;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;July;4;neophyte;0;0;0;0;NA;NA;NA;NA;NC;1;A2a;
