rank_overall,network_id,period,ugs_id,ugs_type,site_name,plants_recorded,P_plants,plants_interaction_share,N_interactions,A_pollinators,L_links,singleton_rate,share_interactions_species_id,share_bee_interactions,plant_trait_weighted_cov,bee_trait_weighted_cov,score_richness,score_completeness,score_trait_coverage,score_trait_breadth,score_overall_noBG
52,C_55,C,55,Ruderal,Hinterhagenweg,27,13,0.481,35,16,27,0.815,0.943,0.486,1,1,0.609,0.587,1,0.529,0.627
53,A_10,A,10,Allotment,GZ Bachwiesen - Zürcher Gemeinschaftszentren,32,12,0.375,41,17,24,0.792,0.976,0.756,0.976,1,0.595,0.684,0.942,0.499,0.626
54,C_17,C,17,Real estate,Bernstrasse,25,11,0.44,46,15,22,0.773,1,0.804,0.978,1,0.546,0.759,0.949,0.553,0.625
55,A_57,A,57,Ruderal,Oberer Letten,9,7,0.778,47,19,26,0.692,0.936,0.809,1,0.947,0.547,0.712,0.792,0.75,0.625
56,B_20,B,20,Real estate,Genosseschaft in der Ey,23,12,0.522,42,9,18,0.667,1,0.952,1,1,0.448,0.88,1,0.669,0.623
57,B_12,B,12,Allotment,Familiengarten Wehrenbach,33,13,0.394,26,10,17,0.706,1,0.846,1,1,0.432,0.835,1,0.586,0.622
58,A_20,A,20,Real estate,Genosseschaft in der Ey,22,12,0.545,39,12,22,0.727,0.974,0.821,1,0.969,0.509,0.755,0.876,0.644,0.621
59,C_22,C,22,Real estate,Hägelerweg,18,6,0.333,177,18,20,0.7,0.989,0.944,1,0.994,0.609,0.817,0.976,0.465,0.61
60,C_18,C,18,Real estate,Färberstrasse,16,8,0.5,43,15,20,0.7,1,0.558,1,1,0.461,0.842,1,0.426,0.61
61,A_35,A,35,Garden,Hubenstrasse,25,11,0.44,25,13,17,0.765,1,0.8,1,1,0.426,0.768,1,0.535,0.605
62,C_38,C,38,Park,Park Pfingstweid,21,9,0.429,72,17,25,0.76,0.972,0.819,1,0.967,0.622,0.713,0.868,0.579,0.604
63,C_16,C,16,Real estate,Grünau,16,7,0.438,50,13,18,0.611,0.98,0.94,1,1,0.417,0.9,1,0.594,0.604
64,A_53,A,53,Ruderal,Messe Hallenstadion /Cor: Offene Rennbahn,16,9,0.562,31,16,22,0.818,1,0.806,0.968,1,0.477,0.707,0.924,0.543,0.599
65,B_49,B,49,Ruderal,Nähe Europabrücke,19,9,0.474,34,14,19,0.737,0.971,0.676,1,1,0.437,0.736,1,0.521,0.599
66,B_33,B,33,Garden,Hardlaubstrasse 48,25,10,0.4,28,8,17,0.647,1,0.821,1,1,0.349,0.902,1,0.533,0.598
67,A_19,A,19,Real estate,Sägestrasse,19,9,0.474,39,19,24,0.792,0.923,0.744,1,0.966,0.553,0.57,0.864,0.664,0.598
68,C_43,C,43,Park,Villa Hohenbühl,10,7,0.7,29,14,16,0.625,1,0.828,0.931,1,0.359,0.927,0.837,0.528,0.596
69,A_3,A,3,Allotment,Gartenareal Breitenstein,34,11,0.324,44,13,19,0.737,0.977,0.909,1,1,0.492,0.75,1,0.512,0.595
70,B_39,B,39,Park,Zeughaushof,27,9,0.333,31,9,13,0.615,1,0.903,1,1,0.319,0.938,1,0.583,0.593
71,B_27,B,27,Garden,Breitensteinstrasse,28,9,0.321,44,16,23,0.696,0.955,0.841,1,1,0.52,0.748,1,0.466,0.591
72,C_23,C,23,Real estate,Leimbachstrasse,14,7,0.5,39,14,17,0.706,1,0.897,1,1,0.394,0.835,1,0.527,0.589
73,A_56,A,56,Ruderal,ETH / UZH,18,9,0.5,43,12,16,0.562,0.977,0.977,0.93,0.976,0.412,0.948,0.741,0.502,0.587
74,A_23,A,23,Real estate,Leimbachstrasse,16,5,0.312,132,12,14,0.571,0.992,0.917,1,1,0.465,0.972,1,0.382,0.585
75,C_19,C,19,Real estate,Sägestrasse,21,13,0.619,25,14,21,0.81,1,0.64,1,0.947,0.511,0.717,0.792,0.397,0.585
76,B_53,B,53,Ruderal,Messe Hallenstadion /Cor: Offene Rennbahn,19,9,0.474,56,11,19,0.632,0.982,0.982,1,0.982,0.457,0.881,0.928,0.503,0.582
77,B_43,B,43,Park,Villa Hohenbühl,17,8,0.471,28,13,18,0.722,0.964,0.643,0.964,1,0.379,0.739,0.916,0.697,0.582
78,A_26,A,26,Garden,Gladiolenweg,23,10,0.435,71,12,22,0.5,0.775,0.761,1,1,0.553,0.511,1,0.429,0.58
79,A_1,A,1,Allotment,Gartenareal Breitenstein,29,9,0.31,66,11,17,0.647,1,0.939,0.955,1,0.468,0.902,0.893,0.565,0.579
80,B_48,B,48,Park,Bachwiesenpark,18,11,0.611,44,18,26,0.769,0.932,0.773,0.909,0.943,0.61,0.615,0.559,0.636,0.577
81,B_30,B,30,Garden,Eleonorenstrasse,28,9,0.321,37,10,17,0.706,1,0.919,1,1,0.378,0.835,1,0.507,0.576
82,A_13,A,13,Real estate,Eisenbahnerstrasse,25,9,0.36,30,11,23,0.783,1,0.833,1,0.962,0.417,0.748,0.848,0.678,0.576
83,C_54,C,54,Ruderal,Herdernstrasse,16,5,0.312,101,7,10,0.2,1,0.99,1,1,0.37,1,1,0.531,0.574
84,C_21,C,21,Real estate,Waidspital,25,12,0.48,62,16,27,0.741,0.935,0.839,0.726,1,0.66,0.655,0.5,0.569,0.573
85,A_47,A,47,Park,Schärrerwiese,19,10,0.526,25,15,16,0.875,0.96,0.64,1,1,0.424,0.556,1,0.685,0.571
86,C_37,C,37,Park,Alter Botantischer Garten,26,9,0.346,42,17,22,0.682,0.929,0.762,0.976,0.938,0.52,0.707,0.697,0.627,0.569
